20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bluetermite_emdivi.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bronze_butler.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_buckeye.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_camaro_dragon_oct23.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_candiru.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_carbon_paper_turla.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_casper.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cheshirecat.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cloudatlas.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cloudduke.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cmstar.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_netfilter.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_pp_zerot.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_reddelta.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_twisted_panda.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cobaltstrike.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cobaltstrike_evasive.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_codoso.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_coreimpact_agent.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_danti_svcmondr.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_darkcaracal.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_darkhydrus.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_deeppanda.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_derusbi.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dnspionage.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_donotteam_ytyframework.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dragonfly.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dtrack.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dubnium.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_duqu1_5_modules.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_duqu2.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dustman.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_emissary.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp.yar
